dbn,school_name,boro,phone_number,school_email,grade_span_min,grade_span_max,bus,subway,primary_address_line_1,city,state_code,zip,website,total_students,school_type,overview_paragraph,program_highlights,language_classes,extracurricular_activities,addtl_info1,addtl_info2,start_time,end_time,ell_programs,priority01,priority02,priority03,priority04,priority05,priority06,priority07,priority08,priority09,priority10
07X334,International Community High School,Bronx,7186654128,enrollmentichsbronx.org,9,12,"Bx1, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41SBS, Bx4A","6 to Brook Ave  2, 5 to 149th St3rd Ave",345 BROOK AVENUE, BRONX,NY,10454,www.ichs.weebly.com,463,"Performance Assessment School, School for New Arrivals","We are a community of English Language Learners from all parts of the world, learning and working together in teams. Our school and classes are small. Students receive personal attention from teachers and school staff. All classes are taught in English and students can use their native language skills to acquire more understanding and prepare assignments and projects. Everyone learns English while learning math, science, and social studies. Students are given a college preparatory experience, with internship opportunities in preparation for life after high school. We are part of a growing network of international schools with over 20 years of successful experiences working with recent immigrant youth and their families.","Students receive support for language development in every class Small academic classes that incorporate English and Native Languages, Advisory, CUNY College Now, Drama, Studio Art, College Summit, Senior Mentoring FullTime College Counselor","Arabic, French, Spanish","Art, Ballroom Dance, Before and Afterschool Tutoring, Capoeira, Drama, HipHop Dance, Model UN, SAT Prep Classes, School Newspaper, Senior Committee, Snowboarding, Tae Kwon Do, Changing the Odds, Tagai Mentoring, Teen Health Council, Center for Urban Pedagogy CUP, Civil Rights Club, Peer Mediation",iLearnNYC Program for expanded online coursework and selfpaced learning,"Students present and defend their work to committees twice a year through our portfolio roundtable presentations, Students must complete Performancebased Assessment Tasks PBATs such as a collegelevel history research paper and a studentdesigned science experiment as a replacement for the math, science and history Regents Exams Students do take the English Regents Exam The state recognizes these PBATs as a replacement for the Regents Exams, Our school requires an Academic Portfolio for graduation Internship Opportunities",90000.0,40000.0,ESL,Eligibility Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LABR.,,,,,,,,,
02M475,Stuyvesant High School,Manhattan,2123124800,02M475schools.nyc.gov,9,12,"BM1, BxM18, M20, M22, M5, M9, QM7, X1, X10, X10B, X11, X15, X17, X17A, X28, X4, X7, X8","1, 2, 3, A, C, E to Chambers St  R to City Hall",345 CHAMBERS STREET, MANHATTAN,NY,10282,www.stuy.edu,3296,Specialized High School,"Our goal is to provide students with a rigorous curriculum that nurtures and rewards their intellectual curiosity. Although Stuyvesant is historically known as a Math, Science, and Technology school, we have a dynamic and diverse Humanities program, and offer unique educational opportunities outside the classroom as well.","Advanced courses in every discipline, such as Multivariate Calculus, Differential Equations, Software Development, Vertebrate Zoology, Organic Chemistry, Existentialism, Science Fiction, Wall Street, Modern China, Research, and Music Participation in competitions such as Speech and Debate, Mathematics, Scholastic Writing, Science Olympiad, Robotics, Siemens, and Intel Science Talent Search","Chinese Mandarin, French, German, Italian, Japanese, Latin, Spanish","Student Union, Math Team, Robotics, Speech and Debate, Chess, Model UN, JSA, Science Olympiad, Annual Concerts, Dramas, Musicals, Theater Productions, Dances, ARISTA Honors Society, Big Sibs as well as over 200 studentrun clubs and publications",,,80000.0,33500.0,ESL,Open to New York City residents,,,,,,,,,
15K656,Brooklyn High School of the Arts,Brooklyn,7188552412,brooklynartshsgmail.com,9,12,"B103, B25, B37, B38, B41, B45, B52, B63, B65, B67","G to Fulton St  C to Lafayette Ave  2, 3, 4, 5, B, D, N, Q, R to Atlantic Ave  Barclays Center  A to Hoyt  Schermerhorn",345 DEAN STREET, BROOKLYN,NY,11217,www.brooklynhsarts.org,870,,"We are dedicated to providing talented Brooklyn students with a strong curriculum in Fine Arts, Drama, Dance, Vocal Music, Band, and Orchestral Music. Along with their major studies, students are prepared for high academic achievement. As an iZone 360 school, students are immersed in technology we have multiple computer labs and allow students to learn in a way that suits them. Students are provided with daily studio classes in their talent area, designed to prepare them for top fine arts and performing arts colleges and help them develop the discipline to be wellrounded students and future professionals.","Fine Arts Drawing, Painting, Sculpture, Ceramics, College Portfolio Preparation, Art as elective Dance Ballet, Jazz and Modern Technique, Pointe, Dance History, Choreography Drama Play Production, Voice, Diction and Movement, Set and Costume Design, Creative Writing Music Wind Ensemble audition, Jazz Band audition, String Orchestra, Concert Band, Beginning Band, Concert Choir, Women_s Choir, Beginning Choir, Performing Choir audition, Music as elective, Solo Repertoire Workshop Academic Programs Comprehensive Math and Science Program, Advancement via Individual Determination AVID Program, Honors Courses, CUNY College Now","Chinese Mandarin, French, Spanish","National Honor Society, Anime, Ceramics, Debate Team, Gallery, Gospel Choir, Lamplighters Theater, Peer Tutoring, Physical Fitness, Poetry, School Leadership Team, Step Team, Student Council, Student Newspaper, TriM Music Honor Society, University Partnerships, Yearbook Committee, Cheerleading, Cosmetology",iLearnNYC Program for expanded online coursework and selfpaced learning,,81500.0,32100.0,ESL,Priority to Brooklyn students or residents,Then to New York City residents,,,,,,,,
02M407,Institute for Collaborative Education,Manhattan,2124757972,ICEadmissionsgmail.com,6,12,"BM1, M1, M101, M102, M103, M14A, M14D, M15, M15SBS, M23, M3, M34ASBS, M8, M9, X10, X12, X14, X28, X37, X38, X68","L to 1st Ave  4, 5, 6, N, Q, R to 14th StUnion Square",345 EAST 15TH STREET, MANHATTAN,NY,10003,www.iceschool.net,482,Performance Assessment School,"The Institute for Collaborative Education ICE is founded on the principles of the Coalition of Essential Schools and is a member of the New York State Performance Standards Consortium. As a progressive school, our courses and units of study are inquirybased and designed to develop students_ critical thinking skills. Students engage in academically challenging performancebased assessment tasks PBATs that demonstrate their understanding of course material. ICE provides students advanced learning opportunities through our collaborations and partnerships with local universities, colleges, and communitybased organizations.","Academic program that culminates in PBAT Graduation Requirements in all core subject areas History, Literature, Math, Science, and Spanish Senior Circle Electives have included Multimedia Technology, SongwritingPoetry, Studio Digital  Performing Arts, Photography, Intro to PsychologyPhilosophy Math Magic, Health and Nutrition Awareness, Computer Game Programming Music Studio Art HS Jazz Band and multiple ensembles Neuroscience program Collaboration with The City University of New York CUNY and New York University NYU Neuroscience Labs",Spanish,"Big SibsLittle Sibs Peer Mentoring, Advisory System, Chemistry, Chess, College Bound, Craftmatics, Dance, Japanese Appreciation, Leadership, Literary Magazine, Mathletes, Music, NeuroScience Brain Bee, New York Urban Debate League, Ethnomusicology, Film Studies, Outdoors Experience, Performance Perspectives, Photography, Songwriting, Studio Art, Technology, Think CUNY College Now, Youth Media",,Our school does not use number or letter grades Assessment is based on academic projects and portfolios,80000.0,30000.0,ESL,Priority to continuing 8th graders,Then to New York City residents,,,,,,,,
02M420,High School for Health Professions and Human Services,Manhattan,2127809175,RGentilschools.nyc.gov,9,12,"BM1, M1, M101, M102, M103, M14A, M14D, M15, M15SBS, M23, M3, M34ASBS, M8, M9, X10, X12, X14, X28, X37, X38, X68","L to 1st Ave  4, 5, 6, N, Q, R to 14th StUnion Square",345 EAST 15TH STREET, MANHATTAN,NY,10003,www.hphsnyc.org,1664,,"Our school is dedicated to providing challenging academic standards in professional health career settings through our academic program which prepares our students to enter the world of health care with scientific knowledge, ethics, integrity, and compassion. Our students are provided with a wellrounded high school experience including extracurricular activities, opportunities to enter sciencerelated competitions, and an extensive sports program. Advanced Placement AP courses, as well as an array of electives, offer enrichment in all subject areas. Students have the opportunity to complete a threeyear internship program that exposes them to health careers and related services fields.","State University of New York SUNY Albany Medical Science Research program offers students an opportunity to receive twelve college credits Medical Laboratory  Assisting, Syracuse University Project Advance, Nutrition and Exercise Science, Forensic Science, Kinesiology and Sports Medicine, Medical Biology, Medical Ethics, Medical Illustrations, Fellows Program, S3 Science Program, CUNY College Now, Exploration of Health Occupations and Career Choices Drama, Mentors, Ninth Grade Advisory",Spanish,"Afterschool Tutoring, Art, Ballroom Dancing, Band, Big Brothers Big Sisters of NYC, Book, Cheerleading, Chess, Comprehensive Development Corporation Naviance Online College Tracking Tool, Computer, Creative Writing, Dance, Dancing Classrooms High School Rainbow Team Match Competition, Digital Photography, Festival of the Arts, Friends of Latin America FOLA, GayStraight Alliance, Leadership Class, Multicultural Shows, National Honor Society, Nursing, Pace Liberty Partnership, Peer Tutoring, Poetry, Printmaking, REACH Rewarding Achievement  Incentive program for AP courses, Recipe WritingCooking, Rise to College, SAT Prep, School Newspaper, Science Research, Senior Class Government, Sponsors for Educational Opportunity SEO Scholars Program, Student Government, Teen Talk, Trips to Theater Productions, Model UN, Webmasters, Weight Training, Word Game, Yearbook",,Ninth Grade Academic Intervention for transition to high school for all ninth grade students Our students intern in more than 50 hospitals throughout the city We have a fulltime college guidance counselor along with other fulltime college advisors. Guidance counselors remain with their students throughout their four years Weekend Enrichment Program,90000.0,34500.0,ESL,Open to New York City residents,,,,,,,,,
25Q285,World Journalism Preparatory A College Board School,Queens,7184612219,CSchneider2schools.nyc.gov,6,12,"Q13, Q16, Q28, Q31, Q76, QM3",,3465 192 STREET, QUEENS,NY,11358,www.wjps.org,610,,"At World Journalism Preparatory, journalism is a tool used to share learning and practice the habits of critical thinking regarding citizenship and democracy. Student publications include a school newspaper, magazines, television programs, podcasts, websites, blogs, and wikis. Opportunities to immerse in journalism exist through fieldwork, creative projects, performances, interviews, and readings set in the community. The school has writing labs for parents as well as students. Students visit television networks, newspapers, publishers, colleges and other postsecondary schools.","Writing and Research Intensives, Workshops, Studio Time, SAT Prep, CollegeEd, Internships and Job Shadowing, WorkStudy, Journalism Camp, College Summit, Advisory Small Group Support, Individualized College Planning, Publications Work",Spanish,"Broadcast, Competitive Speech and Debate, Drama, Election Connection, Environmental, Greek, Friday Jam, Literary Magazine, Model UN, Newspaper, Photography, Principals Advisory, Publications, Readings and Performances, Screenwriting, Spanish, Student Government, Student Newspaper, Town Hall, Videography, Web Design, Yearbook",iLearnNYC Program for expanded online coursework and selfpaced learning,"Uniform Required Khaki, gray, navy or black slacksskirt, white longshortsleeved buttondown shirtblouse or white, navy or black longshortsleeved polo, navy blazercardigan sweaterhooded sweatshirt. All uniform items have a school logo Wednesday dismissal at 1245 PM for related fieldwork and creative projects. Internship Opportunities",80000.0,30000.0,ESL,Priority to continuing 8th graders,Then to New York City residents who attend an information session,Then to New York City residents,,,,,,,
15K519,Cobble Hill School of American Studies,Brooklyn,7184039544,mbruno2schools.nyc.gov,9,12,"B37, B45, B57, B61, B62, B63, B65, B67","F, G to Bergen St  2, 3 to Hoyt St  A, C to Hoyt  Schermerhorn",347 BALTIC STREET, BROOKLYN,NY,11201,httpschools.nyc.govSchoolPortals15K519,596,,"At Cobble Hill, our vision is to know and empower our students as individuals so they will reach their maximum potential, make informed choices, and create meaningful lives. Through our programs and partnerships, students explore career options and areas of interest in a learning community that values achievement in character, culture, and academics.","Gilder Lehrman Affiliate School Fouryear PreLaw Institute Family  Civil Law, Constitutional Rights, Financial Literacy, Criminal Law Moot Court, Mock Trial, International Moot Court Team Drama, CUNY College Now at City Tech and John Jay, College Writing, Visual Arts sequence, College Summit, Advancement via Individual Determination AVID college readiness elective in all grades, Classroom Inc., Castle Learning, SAT Prep, Counseling in Schools Stepping Stones Program, Brooklyn Historical Society afterschool program, Art Classes at Cooper Union, CUNY Shakespeare Festival, Poetry elective and Urban Word poetry workshop, Fouryear Honors Program for Advanced Students Fouryear sequence in science  math Physics, Chemistry, Advanced Algebra and Trigonometry  Precalculus Historical trips day and overnight to Gettysburg, Philadelphia, Washington D.C., Camp Becket in the Berkshires, Lancaster PA, Williamsburg Va, Boston, etc.","American Sign Language, Italian, Spanish","Tutorials, AVID Tutorials, Cheerleading, Step Team, Chess, Chorus, College Summit Peer Leaders, Crochet, Dance, DramaOpening Act, Fashion, Fitness, Hispanic Scholarship Fund, Health Occupations Students of America HOSA, Martial Arts, Knitting, Leadership Council, Literary Magazine, Mock Trial at New York Law School, National Honor Society, Peer Mediation, PM school, Saturday Programs High School Law Institute at New York University and Columbia University, School Yearbook, Senior Committee, Spoken Word, _The Stallions_ School Newspaper, Student Court, Video, Yearbook, Explorer_s Club",iLearnNYC Program for expanded online coursework and selfpaced learning,Ninth grade Bridge Program,80000.0,30000.0,ESL,Priority to Brooklyn students or residents,Then to New York City residents,,,,,,,,
02M534,Harvest Collegiate High School,Manhattan,2122423384,infoharvestcollegiate.org,9,12,"BxM7, M1, M102, M12, M14A, M14D, M20, M23, M5, M7, M8, X10, X12, X17, X28, X42","1, 2, 3, F, L, M to 14th St  6th Ave  A, B, C, D, E to West 4th St  4, 5, 6, N, Q, R to 14th StUnion Square",34 WEST 14 STREET, MANHATTAN,NY,10011,www.harvestcollegiate.org,333,Performance Assessment School,"The Harvest Collegiate School offers a rich and challenging intellectual education that engages students in the natural process of experience, questioning, the pursuit of precision, and reflection_how people really learn. We believe in cultivating students_ power to produce and reflect, rather than simply consume, as a fundamental way of being in the world. We aspire to being and contributing creatively to a sane society, one of peace, growth and joy. We believe all young people flourish in conditions that challenge and support. We prepare students for success in college and for participatory leadership that promotes values of active responsibility for mankind and our world.","Twoyear Institutes ninthtenth and eleventhtwelfth grades to develop our core habits of mind curiosity, evidence, perspective, connection, and voice HalfDay Harvest Experience City Exploration in 9th grade, Service Learning in tenth grade, College Exploration in eleventh grade, Career Internship in twelfth grade Dedicated Daily Reading Time All students learn a musical instrument in partnership with Third Street Music School Seedtoplate experience with the Stone Barns Center for Agriculture Advisory Affirmative Whole School Morning Meeting starts each day January Intensive for Travel or Immersion Learning CUNY College Now","French, Portuguese, Spanish","Robotics, Sailing and Boatbuilding, Theater and Musical Theater, Ambassadors, Art, Chess, Cooking, Dance Team, Fairness, Jazz Band, Filmmaking, GSX, Girls Group, Boys Group, Math Team, Model UN, Outdoor Adventure, Peer Counselors, Photography, Principals Book Club, SAT Prep, Step Team, Student Government, Tai Chi, Writing Center, Workout, Yoga",,Family Meeting Overnight Orientation Community Service Requirement Internship Requirement Internship Opportunities,82000.0,32200.0,ESL,Priority to continuing 8th graders,Then to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Manhattan students or residents,Then to New York City residents,,,,,
25Q240,Veritas Academy,Queens,7188887520,cquatranoschools.nyc.gov,9,12,"Q12, Q13, Q15, Q16, Q17, Q20A, Q20B, Q25, Q26, Q27, Q28, Q34, Q48, Q50, Q65, Q66, QM2, QM20, QM3",7 to Flushing  Main St,3501 UNION STREET, QUEENS,NY,11354,www.theveritasacademy.com,275,,"At Veritas Academy, you will learn about the values of truth, dignity, and humanity. Dedicated staff members will help you reach your full potential by learning about your individual aspirations and strengths. Through disciplined study, you will collaborate with teachers to make connections between what you learn in the classroom and the real world. By participating in advancedlevel learning opportunities, internships, and volunteer work, you will use your individuality and creativity to help others. At Veritas, we will work together so you can bring justice, respect, and equity to the human race.","The Renzulli Schoolwide Enrichment Program includes an interdisciplinary curriculum and projectbased enrichment electives with residencies and internship opportunities in the following areas Athletics, Business and Entrepreneurship, Cultural Studies, Environmental Studies, Graphic Arts, Humanities, Photography, Music, Journalism, Law, Literary Arts, Media Studies, Medicine and Health Professions, Technological Sciences, and Visual and Performing Arts. As the school expands, we plan to offer AdvisoryIndependent Studies, AP, honors and accelerated courses, CUNY College Now, Korean Bilingual Program and Cultural Studies, After school programs, SATACT prep classes, and Latin and Greek Word Study. Assistance with college and career portfolios, college applications, and college visits. Researchbased thesis expected.","American Sign Language, French, Spanish","Arista, Dance, Chorus, Community Service, Concert and Jazz Bands, Graphic Arts, Fashion Design, Visual Art, Math Society, Prom Committee, Student Government, Youth Development Program, Yearbook, Fitness and Sports Program",,Uniform Requirement Community Service Requirement Internship Requirement Summer Orientation,75000.0,24000.0,ESL,Priority to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Queens students or residents,Then to New York City residents,,,,,,
25Q241,Queens High School for Language Studies,Queens,7188887530,infoqhsls.org,9,12,"Q12, Q13, Q15, Q16, Q17, Q20A, Q20B, Q25, Q26, Q27, Q28, Q34, Q48, Q50, Q65, Q66, QM2, QM20, QM3",7 to Flushing  Main St,3501 UNION STREET, QUEENS,NY,11354,www.qhsls.org,205,,"At Queens High School for Language Studies, all students graduate ready for success in college, proficient in both Mandarin Chinese and English. Students receive a wellrounded curriculum, taking a variety of advanced math and science classes, arts classes, and CUNY College Now courses in higher grades. English proficient students commit to four years of Mandarin Chinese study. Native Chinesespeaking English Language Learner students take intensive English as a Second Language classes. All students graduate having communicated actively in both Mandarin Chinese and English. Our teachers strive to develop critical thinking skills and spark intellectual curiosity in a caring, smallschool environment. Our entire community works to embody QHSLS PRIDE persistence, responsibility, inquiry, determination, and empathy. By meeting the academic, emotional, and language needs of our students, we challenge and encourage our graduates to achieve their best potential, not just in one language but in two.","Our program is designed for students to work towards an Advanced Regents Diploma. Fouryear Chinese language program with extended day for language, arts and enrichment classes advisory, theater, statistics, and film studies. SAT Prep, college admissions counseling, and internship opportunities in eleventh and twelfth grade.",Chinese Mandarin,"Music, Anime, Chess, Community Arts, Drama, Math, Computer Programming, Student Government, Daily Tutoring We plan to offer Language Lab, Dance, Newspaper, Yearbook, and others proposed by students, and PM or Saturday school as needed Taekwondo and Korean traditional dance classes through partnerships with community organizations.",iLearnNYC Program for expanded online coursework and selfpaced learning,"Uniform Required School shirt with logo and appropriately fitted jeans, khakis, pants or skirt of the students choice Summer Orientation For ninth graders at the end of August Community Service Opportunities Internship Opportunities",80000.0,33700.0,"ESL, Transitional Bilingual Education Chinese",Eligibility Fifty percent 50 of the incoming 9th graders will be English Proficient students and fifty percent 50 Chinese Mandarinspeaking English Language Learners as per New York City Department of Education guidelines,Priority to Queens students or residents,Then to New York City residents,,,,,,,
25Q460,Flushing High School,Queens,7188887500,MVacarrschools.nyc.gov,9,12,"Q12, Q13, Q15, Q16, Q17, Q20A, Q20B, Q25, Q26, Q27, Q28, Q34, Q48, Q50, Q65, Q66, QM2, QM20, QM3",7 to Flushing  Main St,3501 UNION STREET, QUEENS,NY,11354,www.flushinghighschool.org,2186,,"Flushing High School is a vibrant, international community of students, educators, families, and community leaders working together to develop active, independent learners and productive global citizens. Our mission is to prepare students to graduate with the skills required for postsecondary and career success, and a welldeveloped concept of individual and civic responsibility. Our programs provide a rigorous standardsbased education built on the premise that all students have the ability to meet the academic, career and societal demands of the 21st century. Graduates of Flushing High School will demonstrate college and career readiness, critical problemsolving abilities, a collaborative spirit and a commitment to civic duty. All adult stakeholders, including school administrators, teachers, and support staff, accept responsibility for creating a nurturing learning environment for students. Adult stakeholders also provide leadership and serve as role models for the young people we serve.","Students may receive CTE endorsement in Virtual Enterprise, MarketingBusiness, and Microsoft Suite certification. Ninth grade Platform Academy, Thurgood Marshall Law Academy, Health  Science Academy, and Business  Entrepreneurial Academy, including Virtual Enterprises Studies. We also offer Mock Trials, Moot Court, Debate Teams, Advanced Studies Program,Open Stages, Afterschool tutoring events sponsored through ATT, Aspire Grant, Sports and Arts Foundation, CUNY College NowCollege Focus courses, Saturday Academy Regents Prep, Title III ESL Classes  Tutorials, Extended Day Classes, and APEX Blended Learning.","Chinese Mandarin, French, Spanish","Arts, Math Team, Glamour Gals, Arista, ASPIRA, Attendance Intervention Program, Beginning Vocal,Chinese Club, Concert Band, Debate Team,Honors Chorus, Journalism,Law Team, Leadership, Leos Club, Multicultural,Peer Mediation, Play Production,Set Design, Sports and Arts High School Today Program, Student Government","Community School Offers personalized learning opportunities during and after school, social services, and family engagement programs iLearnNYC Program for expanded online coursework and selfpaced learning",Dress Code Required Summer Orientation For 9th graders in June,80000.0,32700.0,"ESL, Transitional Bilingual Education Chinese, Spanish",Open to New York City residents,For Zoned Program only Priority to students who apply and live in the zoned area,,,,,,,,
20K485,High School of Telecommunication Arts and Technology,Brooklyn,7187593400,pweinbe1schools.nyc.gov,9,12,"B37, B4, B63, B64, B9, X27",N to 59th St  R to Bay Ridge Ave,350 67 STREET, BROOKLYN,NY,11220,www.hstat.org,1329,,"Our school is truly a school for the 21st century, enhancing rigorous academics in the liberal arts tradition with the most advanced technologies. Our small and ethnically diverse student body and our outstanding faculty work together to explore and maximize each student_s individual strengths. Through an incredibly rich array of programs, electives, teams, and clubs, we offer students the opportunity to find a niche and to develop into responsible and productive citizens. We are very proud that our graduates have demonstrated their ability to be successful in the finest universities in the nation. In addition to our challenging educational program, we are an exceptionally friendly school _ one of the bestkept secrets in the city.","Computer Software Engineering Program Ninth and Tenth Grade Small Learning Communities with small class sizes Tenth Grade Honors Academy, Honors Classes, CUNY College Now, Contemporary World Issues, Forensic Science, Play Production, PSATSAT Prep, Law, Science Fiction, Children_s Literature, Criminal Justice, Psychology, Journalism, Anatomy, Film History, Yearbook, Chorus, Photography, Dance, Graphic Design, Java Script, Fashion, Advertising, School Newspaper, Research",Spanish,"Arista National Honors Society, LINK, Model UN, Science League, Spirit Squad, Student Government, Animal Club, AV, Blueprint Leadership, Book Club, Culinary, DanceStep, Debate, Explore Your City, French, Knitting, Latin, Math, Red Cross",iLearnNYC Program for expanded online coursework and selfpaced learning,"Our staff utilize the schools webpage www.pupilpath.com, open only to parents of students, to keep them informed about homework and projects Our building has a functioning wireless network that is regularly a part of the academic life of our students.",80000.0,30000.0,ESL,Priority to Brooklyn students or residents,Then to New York City residents,,,,,,,,
22K555,Brooklyn College Academy,Brooklyn,7188536184,mmalone3schools.nyc.gov,9,12,"B16, B35, B67, B68","F, G to Fort Hamilton Parkway  B, Q to Church Ave",350 CONEY ISLAND AVENUE, BROOKLYN,NY,11218,www.brooklyncollegeacademy.com,605,,"As an Early College High School, our unique, successful collaboration with Brooklyn College enables highly motivated students with diverse backgrounds and interests to move from ninth to twelfth grade within a challenging academic atmosphere. We encourage our students to function independently in educational settings outside the school building and in a college campus environment. We are a collaborative community of leaders and learners whose learning environment is characterized by equity and excellence.","Early College students in grades ten through twelve are actively enrolled in college creditbearing classes offered through Brooklyn College which include Psychology, Philosophy, Sociology, Theater, Chemistry, Precalculus, Calculus, Spanish, and Speech Precollege course for all ninth graders in preparation for college work in tenth grade Art, Music, Band, World Ensemble, and Stained Glass are also offered We are a member of the Middle College National Consortium, a national organization of early college high schools housed on college campuses We are a member of the National Network for Educational Renewal, which supports the collaboration of high schools and institutions of higher education We received Early College High School status in 2007",Spanish,"Cheerleading, Literary Magazine, Middle College National Consortium Student Leadership Conference, National Honor Society, National Junior Honor Society, SmHeart Girls, Yearbook",,"Dress Code Required For 9th graders at main site gray polo shirt Boys Tan khaki pants Girls Black khaki pants. For 10th graders at main site purple polo shirt boys tan khaki pants, girls black khaki pants. Dress code not required for 11th and 12th graders at other site. Community Service Requirement Student Summer Orientation",80000.0,30000.0,ESL,Priority to Brooklyn students or residents,Then to New York City residents,,,,,,,,
07X427,Community School for Social Justice,Bronx,7184028481,eileengonzalezcssjbronx.org,9,12,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx32, Bx33, M1, M102, M7","2 to 149th StGrand Concourse  6 to 138th St3rd Ave  3 to 145th St  4, 5 to 138th St  Grand Concourse",350 GERARD AVENUE, BRONX,NY,10451,www.cssjbronx.org,324,Performance Assessment School,"Community School for Social Justice CSSJ is an active and caring learning community where young people create and develop the intellectual and social skills to become thoughtful and engaged community members. We honor our students_ heritage and values. We embrace a climate of social activism in which students are confident about addressing issues that affect their lives. We provide the emotional and academic supports they need to graduate and succeed in life. Our students learn how to ask questions and examine reallife problems. We guide them toward a sense of power and personal discovery to make change for themselves, their futures, and the world in which they live.","CSSJ is a Performancebased Assessment Task PBAT school in which students must complete, present and defend academic portfolios for graudation. PBATs replace the NYS Regents exam for Social Studies, Math, and Science. Our school also offers the following advanced programs CUNY College Now classes at Hostos Community College, Law and Justice Class and Competition, Playwriting class with Manhattan Theatre Club Honors English PreCalculus and Statistics, Ninth grade doubleblock English classes, and a Social Action course. Our students spend four years with their Family Group improving leadership skills, building friendships, and preparing for college.",Spanish,"Changing the Odds CTO, College Awareness, HIVAIDS Peer Education Group, Mock Trial, SAT Prep, Saturday, School Leadership Team SLT, Peer Mentoring, Student Council, Yearbook, Photography, Dance, Chess, Newspaper, Muy Thai, Judo, Prom Committee",,Summer Orientation Bridge Program for incoming 9th graders and an Orientation program for parentsguardians. Afterschool Homework Help Saturday Program offered including preparation for Performancebased Assessment Tasks PBATs,83000.0,30000.0,ESL,Priority to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Bronx students or residents,Then to New York City residents,,,,,,
07X670,Health Opportunities High School,Bronx,7184011826,jmchedlishvilischools.nyc.gov,9,12,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx32, Bx33, M1, M102, M7","2 to 149th StGrand Concourse  6 to 138th St3rd Ave  3 to 145th St  4, 5 to 138th St  Grand Concourse",350 GERARD AVENUE, BRONX,NY,10451,www.hopschool.com,554,,"We are committed to preparing a diverse community of students to become lifelong learners and providers of excellent health care. Our curriculum is embedded with healthrelated themes while focused on the sciences. Students may earn college credits through our partnerships with Hostos and Bronx Community Colleges. All students are required to complete 120 hours of fieldwork in one of our many healthrelated internships. Preparing students for college and the world of work is a necessity, so we employ a fulltime College Bound counselor and various staff from communitybased organizations to support us in reaching that goal.","Internships in Health Careers, College Bound Initiative, Healthrelated programs and courses","Japanese, Spanish","American Red Cross, buildOn, Changing the Odds, Digital Photography, Drama, National Honor SocietyArista, Urban Word, Student Government, The Men of Strength, The Pom Squad School Spirit Squad Yearbook, Young Men_s Leadership, Young Women_s Leadership, Japanese, Guitar Lessons, A cappella, Cheerleading, Introduction to Medical Careers, Creative Writing, Music Program",iLearnNYC Program for expanded online coursework and selfpaced learning,"Uniform Required Short or longsleeved shirt with school logo. In cold weather, students may wear the school sweatshirt or cardigan All students must complete a healthrelated internship of no less than 120 hours",81500.0,33500.0,ESL,Open to New York City residents,,,,,,,,,
02M305,"Urban Assembly Academy of Government and Law, The",Manhattan,2125050745,contactuaagl.org,9,12,"B39, M103, M14A, M14D, M15, M15SBS, M21, M22, M9","F, J, M, Z to Delancey StEssex St  B, D to Grand St",350 GRAND STREET, MANHATTAN,NY,10002,www.uaagl.org,329,,"At The Urban Assembly Academy of Government and Law AGL, we are preparing students to be successful in life beyond high school. As a college and career readiness high school, and a school that promotes social justice, we are committed to ensuring that all students are matched with a post graduation opportunity. Through our law and government theme, we provide students with reallife and handson experiences that equip them with the academic and social skills needed for their next step in life. At AGL, we are planting the seeds for future success.","Our students take courses such as Law  Ethics, Forensics, and Public Speaking in addition to courses that prepare them for a Regents or Advanced Regents Diploma. Our eleventh grade students participate in free SAT Prep courses during the school day. Advanced students can take Advanced Placement AP courses and CUNY College Now courses to earn college credit",Spanish,"Student Government, Art, Basketball, Cheerleading, Soccer, Music, Weight Room, Law Team, Freaks and Geeks, Senior Committee, Mentoring, Soccer, Tutoring",,"Uniform Required Blue polo shirt with school logo, khaki or gray pants. Uniforms are available for sale at the school. Accepted students are expected to attend a New Student Orientation session in June Extended Day Program Students are expected to participate in Extracurricular Activities and Regents PrepTutoring All ninth grade students attend a Bridge To High School Program that is an extension of the regular school day and is offered three days a week. The program includes academic support, academic advisement, and extracurricular clubs.",83200.0,34500.0,ESL,Priority to Districts 1 and 2 students or residents who attend an information session,Then to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session,Then to Districts 1 and 2 students or residents,Then to Manhattan students or residents,Then to New York City residents,,,,
